merge_key,has_xml,has_html,has_ocr,has_pdf,chars_xml,chars_html,chars_ocr,chars_pdf
2025_구미_아시아육상경기선수권대회_조직위원회_2025_구미아시아육상경,1,1,1,0,45930,48652,0,0
bioin_의료기기산업_종합정보시스템_정보관리기관_기능개선_사업_2차,1,1,1,0,67280,71994,0,0
koica_전자조달_긴급_지문_국제_우즈베키스탄_열린_의정활동_상하원,1,1,1,0,126894,134302,0,0
경기도_안양시_호계체육관_배드민턴장_및_탁구장_예약시스템_구축_용역,1,1,1,0,64138,67015,0,0
경기도_평택시_2024년도_평택시_버스정보시스템_bis_구축사업,1,1,1,0,80821,84685,0,0
경기도_평택시_2024년도_평택시_버스정보시스템_bis_구축사업_test,0,1,0,0,0,84685,0,0
경기도사회서비스원_2024년_통합사회정보시스템_운영지원,0,1,0,0,0,72046,0,0
경상북도_봉화군_봉화군_재난통합관리시스템_고도화_사업_협상_긴급,1,1,1,0,57679,61010,0,0
경희대학교_입찰공고_산학협력단_정보시스템_운영_용역업체_선정,0,1,0,0,0,45960,0,0
고양도시관리공사_관산근린공원_다목적구장_홈페이지_및_회원_통합운영,0,1,0,0,0,74614,0,0
광주과학기술원_실시간통합연구비관리시스템_rcms_연계_모듈_변경_사업,0,1,0,0,0,61427,0,0
광주과학기술원_학사시스템_기능개선_사업,1,1,1,0,46617,50092,0,0
국가과학기술지식정보서비스_통합정보시스템_고도화_용역,1,1,1,0,57663,61896,0,0
국가철도공단_철도인프라_디지털트윈_정보화전략계획_isp_수립_용역_변,1,1,1,0,54163,57182,0,0
국립인천해양박물관_국립인천해양박물관_해양자료관리시스템_구축_용,0,1,0,0,0,62914,0,0
국립중앙의료원_긴급_2024년도_차세대_응급의료_상황관리시스템_구축,1,1,0,0,42,94743,0,0
국민연금공단_2024년_이러닝시스템_운영_용역,0,1,0,0,0,62462,0,0
국민연금공단_사업장_사회보험료_지원_고시_개정에_따른_정보시스템_보,1,1,1,0,62289,65897,0,0
국방과학연구소_기록관리시스템_통합_활용_및_보안_환경_구축,0,1,0,0,0,57041,0,0
국방과학연구소_대용량_자료전송시스템_고도화,0,1,0,0,0,57600,0,0
그랜드코리아레저_주_2024년도_gkl_그룹웨어_시스템_구축_용역,1,1,1,0,141764,151824,0,0
나노종합기술원_스마트_팹_서비스_활용체계_구축관련_설비온라인_시스,1,1,1,0,58649,62839,0,0
남서울대학교_혁신_국고_남서울대학교_스마트_정보시스템_활성화_학사,1,1,1,0,59935,63375,0,0
대검찰청_아태_사이버범죄_역량강화_허브_apc_hub_홈페이지_및_온라인_교,1,1,1,0,52620,55170,0,0
대전대학교_대전대학교_2024학년도_다층적_융합_학습경험_플랫폼_mile_전,1,1,1,0,60197,0,0,0
대한상공회의소_기업_재생에너지_지원센터_홈페이지_개편_및_시스템_고,1,1,1,0,51889,55079,0,0
대한장애인체육회_2025년_전국장애인체육대회_전산_및_시스템_홈페이지,0,1,0,0,0,51187,0,0
대한적십자사_의료원_적십자병원_병원정보_재해복구시스템_구축_용역,1,1,1,0,47547,50133,0,0
문화체육관광부_국립민속박물관_2024년_국립민속박물관_민속아카이브_자,0,1,0,0,0,68741,0,0
부산관광공사_경영정보시스템_기능개선,1,1,1,0,75461,76987,0,0
사_벤처기업협회_2024년_벤처확인종합관리시스템_기능_고도화_용역사업,1,1,1,0,100403,106723,0,0
사_부산국제영화제_2024년_biff_acfm_온라인서비스_재개발_및_행사지원시,1,1,1,0,50477,53269,0,0
사_한국대학스포츠협의회_kusf_체육특기자_경기기록_관리시스템_개발,1,1,1,0,71478,75597,0,0
사단법인_보험개발원_실손보험_청구_전산화_시스템_구축_사업,1,1,1,0,79801,84348,0,0
사단법인아시아물위원회사무국_우즈벡_키르기즈스탄_기후변화대응_스,1,1,1,0,47402,50080,0,0
서민금융진흥원_서민금융진흥원_서민금융_채팅_상담시스템_구축,1,1,1,0,76286,80886,0,0
서영대학교_산학협력단_전문대학_혁신지원사업_서영대학교_차세대_교육,1,1,1,0,90433,95495,0,0
서울특별시_여성가족재단_재공고_협상_서울_디지털성범죄_안심지원센,0,1,0,0,0,109468,0,0
서울특별시교육청_서울특별시교육청_지능정보화전략계획_isp_수립_2차,1,1,1,0,60206,63591,0,0
세종테크노파크_세종테크노파크_인사정보_전산시스템_구축_용역_입찰공,1,1,1,0,67854,71431,0,0
수협중앙회_강릉어선안전조업국_상황관제시스템_구축,0,1,0,0,0,49963,0,0
수협중앙회_수협중앙회_수산물사이버직매장_시스템_재구축_ismp_수립_입,1,1,1,0,63364,66779,0,0
울산광역시_2024년_버스정보시스템_확대_구축_및_기능개선_용역,1,1,1,0,108353,114508,0,0
을지대학교_을지대학교_비교과시스템_개발,1,1,1,0,67906,72012,0,0
인천공항운영서비스_주_인천공항운영서비스_차세대_erp시스템_구축,1,1,1,0,54100,56861,0,0
인천광역시_도시계획위원회_통합관리시스템_구축용역,0,1,0,0,0,65832,0,0
인천광역시_동구_수도국산달동네박물관_전시해설_시스템_구축_협상에,1,1,1,0,67336,70938,0,0
인천광역시_인천일자리플랫폼_정보시스템_구축_isp_수립용역,0,1,0,0,0,65265,0,0
